nombreOriginal;Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO EDAD;SEXO;LESIVIDAD*;esCruce;tipoVia
CALL. CASTELLO / CALL. DON RAMON DE LA CRUZ;2019S000659;01/01/2019;14:00;CALLE CASTELLO;-;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;01;2;Calle
CALL. CASTELLO / CALL. DON RAMON DE LA CRUZ;2019S000659;01/01/2019;14:00;CALLE DON RAMON DE LA CRUZ;-;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;01;2;Calle
AVDA. GRAN VIA DE HORTALEZA / GTA. LUIS ROSALES;2019S000036;02/01/2019;20:45;AVENIDA GRAN VIA DE HORTALEZA;-;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 70 A 74 AÑOS;Hombre;03;2;Avenida
AVDA. GRAN VIA DE HORTALEZA / GTA. LUIS ROSALES;2019S000036;02/01/2019;20:45;GLORIETA LUIS ROSALES;-;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 70 A 74 AÑOS;Hombre;03;2;Glorieta
CALL. FELIPE ALVAREZ;2019S000133;03/01/2019;14:30; CALLE FELIPE ALVAREZ;10;VILLA DE VALLECAS;Alcance;Se desconoce;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;07;0;Calle
AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;2019S000132;03/01/2019;12:45;AVENIDA SANTA EUGENIA;-;VILLA DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;07;2;Avenida
AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;2019S000132;03/01/2019;12:45;CALLE REAL DE ARGANDA;-;VILLA DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;07;2;Calle
AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;2019S000132;03/01/2019;12:45;AVENIDA SANTA EUGENIA;-;VILLA DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;14;2;Avenida
AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;2019S000132;03/01/2019;12:45;CALLE REAL DE ARGANDA;-;VILLA DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;14;2;Calle
CTRA. DEHESA DE LA VILLA;2019S000045;03/01/2019;10:30; CARRETERA DEHESA DE LA VILLA;1;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;02;0;Carretera
CALL. PRADILLO;2019S000306;04/01/2019;17:10; CALLE PRADILLO;26;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07;0;Calle
CALL. CAÑON DEL RIO LOBOS;2019S000641;04/01/2019;13:35; CALLE CAÑON DEL RIO LOBOS; 7A;MORATALAZ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 65 A 69 AÑOS;Hombre;07;0;Calle
CALL. NUESTRA SEÑORA DE VALVERDE / CALL. DOCTOR JUAN BRAVO;2019S000904;07/01/2019;14:00;CALLE NUESTRA SEÑORA DE VALVERDE;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07;2;Calle
CALL. NUESTRA SEÑORA DE VALVERDE / CALL. DOCTOR JUAN BRAVO;2019S000904;07/01/2019;14:00;CALLE DOCTOR JUAN BRAVO;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07;2;Calle
CALL. PUERTO DE LA CRUZ VERDE;2019S002373;08/01/2019;20:55; CALLE PUERTO DE LA CRUZ VERDE;49;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;14;0;Calle
CALL. PUERTO DE LA CRUZ VERDE;2019S002373;08/01/2019;20:55; CALLE PUERTO DE LA CRUZ VERDE;49;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Peatón;DE 35 A 39 AÑOS;Hombre;07;0;Calle
C/ MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE;2019S001738;08/01/2019;13:03;CALLE MONASTERIO DE ARLANZA;-;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02;2;Calle
C/ MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE;2019S001738;08/01/2019;13:03;AVENIDA SANTUARIO DE VALVERDE;-;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02;2;Avenida
CALL. ANTONIO DE LEYVA;2019S001943;09/01/2019;14:50; CALLE ANTONIO DE LEYVA;84;CARABANCHEL;Colisión lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07;0;Calle
CALL. GRAN VIA;2019S001678;09/01/2019;12:50; CALLE GRAN VIA;66;CENTRO;Alcance;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;;0;Calle
PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS / CALL. GASOMETRO;2019S002882;10/01/2019;20:30;PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS;-;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;02;2;Paseo
