nombreOriginal;Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO EDAD;SEXO;LESIVIDAD*;esCruce;tipoVia;palabrasClave;idVia
CALL. CASTELLO / CALL. DON RAMON DE LA CRUZ;2019S000659;01/01/2019;14:00;CALLE CASTELLO;-;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;01;2;Calle;CASTELLO;153800
CALL. CASTELLO / CALL. DON RAMON DE LA CRUZ;2019S000659;01/01/2019;14:00;CALLE DON RAMON DE LA CRUZ;-;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;01;2;Calle;DON RAMON CRUZ;248700
AVDA. GRAN VIA DE HORTALEZA / GTA. LUIS ROSALES;2019S000036;02/01/2019;20:45;AVENIDA GRAN VIA DE HORTALEZA;-;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 70 A 74 AÑOS;Hombre;03;2;Avenida;GRAN VIA HORTALEZA;728
AVDA. GRAN VIA DE HORTALEZA / GTA. LUIS ROSALES;2019S000036;02/01/2019;20:45;GLORIETA LUIS ROSALES;-;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 70 A 74 AÑOS;Hombre;03;2;Glorieta;LUIS ROSALES;2324
CALL. FELIPE ALVAREZ;2019S000133;03/01/2019;14:30; CALLE FELIPE ALVAREZ;10;VILLA DE VALLECAS;Alcance;Se desconoce;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;07;0;Calle;FELIPE ALVAREZ;289000
AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;2019S000132;03/01/2019;12:45;AVENIDA SANTA EUGENIA;-;VILLA DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;07;2;Avenida;SANTA EUGENIA;694650
AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;2019S000132;03/01/2019;12:45;CALLE REAL DE ARGANDA;-;VILLA DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;07;2;Calle;REAL ARGANDA;631900
AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;2019S000132;03/01/2019;12:45;AVENIDA SANTA EUGENIA;-;VILLA DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;14;2;Avenida;SANTA EUGENIA;694650
AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;2019S000132;03/01/2019;12:45;CALLE REAL DE ARGANDA;-;VILLA DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;14;2;Calle;REAL ARGANDA;631900
CTRA. DEHESA DE LA VILLA;2019S000045;03/01/2019;10:30; CARRETERA DEHESA DE LA VILLA;1;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;02;0;Carretera;DEHESA VILLA;234300
