idVia;nombreOriginal;numeroExpediente;fecha;hora;nombreVia;portal;distrito;tipoAccidente;meteorologia;tipoVehiculo;tipoPersonaAfectada;typicalAgeRange;gender;lesividad;esCruce;tipoVia;palabrasClave;municipio
153800;CALL. CASTELLO / CALL. DON RAMON DE LA CRUZ;2019S000659;01/01/2019;14:00;CALLE CASTELLO;-;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;25-29;Male;01;2;Calle;CASTELLO;Madrid
248700;CALL. CASTELLO / CALL. DON RAMON DE LA CRUZ;2019S000659;01/01/2019;14:00;CALLE DON RAMON DE LA CRUZ;-;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;25-29;Male;01;2;Calle;DON RAMON CRUZ;Madrid
728;AVDA. GRAN VIA DE HORTALEZA / GTA. LUIS ROSALES;2019S000036;02/01/2019;20:45;AVENIDA GRAN VIA DE HORTALEZA;-;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;70-74;Male;03;2;Avenida;GRAN VIA HORTALEZA;Madrid
2324;AVDA. GRAN VIA DE HORTALEZA / GTA. LUIS ROSALES;2019S000036;02/01/2019;20:45;GLORIETA LUIS ROSALES;-;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;70-74;Male;03;2;Glorieta;LUIS ROSALES;Madrid
289000;CALL. FELIPE ALVAREZ;2019S000133;03/01/2019;14:30; CALLE FELIPE ALVAREZ;10;VILLA DE VALLECAS;Alcance;Se desconoce;Bicicleta;Conductor;15-17;Male;07;0;Calle;FELIPE ALVAREZ;Madrid
694650;AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;2019S000132;03/01/2019;12:45;AVENIDA SANTA EUGENIA;-;VILLA DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;18-20;Male;07;2;Avenida;SANTA EUGENIA;Madrid
631900;AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;2019S000132;03/01/2019;12:45;CALLE REAL DE ARGANDA;-;VILLA DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;18-20;Male;07;2;Calle;REAL ARGANDA;Madrid
694650;AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;2019S000132;03/01/2019;12:45;AVENIDA SANTA EUGENIA;-;VILLA DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;21-24;Male;14;2;Avenida;SANTA EUGENIA;Madrid
631900;AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;2019S000132;03/01/2019;12:45;CALLE REAL DE ARGANDA;-;VILLA DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;21-24;Male;14;2;Calle;REAL ARGANDA;Madrid
234300;CTRA. DEHESA DE LA VILLA;2019S000045;03/01/2019;10:30; CARRETERA DEHESA DE LA VILLA;1;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;15-17;Male;02;0;Carretera;DEHESA VILLA;Madrid
606400;CALL. PRADILLO;2019S000306;04/01/2019;17:10; CALLE PRADILLO;26;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;30-34;Male;07;0;Calle;PRADILLO;Madrid
2612;CALL. CAÑON DEL RIO LOBOS;2019S000641;04/01/2019;13:35; CALLE CAÑON DEL RIO LOBOS; 7A;MORATALAZ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;65-69;Male;07;0;Calle;CAÑON RIO LOBOS;Madrid
540200;CALL. NUESTRA SEÑORA DE VALVERDE / CALL. DOCTOR JUAN BRAVO;2019S000904;07/01/2019;14:00;CALLE NUESTRA SEÑORA DE VALVERDE;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;30-34;Male;07;2;Calle;NUESTRA SEÑORA VALVERDE;Madrid
242500;CALL. NUESTRA SEÑORA DE VALVERDE / CALL. DOCTOR JUAN BRAVO;2019S000904;07/01/2019;14:00;CALLE DOCTOR JUAN BRAVO;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;30-34;Male;07;2;Calle;DOCTOR JUAN BRAVO;Madrid
869;CALL. PUERTO DE LA CRUZ VERDE;2019S002373;08/01/2019;20:55; CALLE PUERTO DE LA CRUZ VERDE;49;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Conductor;45-49;Male;14;0;Calle;PUERTO CRUZ VERDE;Madrid
869;CALL. PUERTO DE LA CRUZ VERDE;2019S002373;08/01/2019;20:55; CALLE PUERTO DE LA CRUZ VERDE;49;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Peatón;35-39;Male;07;0;Calle;PUERTO CRUZ VERDE;Madrid
31000143;C/ MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE;2019S001738;08/01/2019;13:03;CALLE MONASTERIO DE ARLANZA;-;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;25-29;Male;02;2;Calle;MONASTERIO ARLANZA;Madrid
31000137;C/ MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE;2019S001738;08/01/2019;13:03;AVENIDA SANTUARIO DE VALVERDE;-;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;25-29;Male;02;2;Avenida;SANTUARIO VALVERDE;Madrid
59100;CALL. ANTONIO DE LEYVA;2019S001943;09/01/2019;14:50; CALLE ANTONIO DE LEYVA;84;CARABANCHEL;Colisión lateral;Despejado;Bicicleta;Conductor;30-34;Male;07;0;Calle;ANTONIO LEYVA;Madrid
342950;CALL. GRAN VIA;2019S001678;09/01/2019;12:50; CALLE GRAN VIA;66;CENTRO;Alcance;Despejado;Bicicleta;Conductor;15-17;Male;;0;Calle;GRAN VIA;Madrid
