nombreOriginal;COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;DISTRITO;IMPAR_MIN;IMPAR_MAX;PAR_MIN;PAR_MAX;tipoVia;palabrasClave
A;84900;PASAJE;; A;A;10;1;3;2;6;; 
AVILES;84900;CALLE;DE; AVILES;AVILÉS;10;1;3;2;6;;AVILES
A-1;31001337;AUTOVÍA;; ;A-1;16;;;10000;13000;; 
A-2;31001336;AUTOVÍA;; ;A-2;4;;;;;; 
A-2;31001336;AUTOVÍA;; ;A-2;5;;;;;; 
A-2;31001336;AUTOVÍA;; ;A-2;15;;;5000;5000;; 
A-2;31001336;AUTOVÍA;; ;A-2;15;;;5000;5000;; 
A-2;31001336;AUTOVÍA;; ;A-2;16;;;6000;9000;; 
A-2;31001336;AUTOVÍA;; ;A-2;16;;;6000;9000;; 
A-2;31001336;AUTOVÍA;; ;A-2;20;;;6000;15240;; 
A-2;31001336;AUTOVÍA;; ;A-2;20;;;6000;15240;; 
A-2;31001336;AUTOVÍA;; ;A-2;20;;;6000;15240;; 
A-2;31001336;AUTOVÍA;; ;A-2;20;;;6000;15240;; 
A-2;31001336;AUTOVÍA;; ;A-2;21;;;10000;15000;; 
A-2;31001336;AUTOVÍA;; ;A-2;21;;;10000;15000;; 
A-3;31001342;AUTOVÍA;; ;A-3;3;;;;;; 
A-3;31001342;AUTOVÍA;; ;A-3;13;;;4000;7200;; 
A-3;31001342;AUTOVÍA;; ;A-3;13;;;4000;7200;; 
A-3;31001342;AUTOVÍA;; ;A-3;13;;;4000;7200;; 
A-3;31001342;AUTOVÍA;; ;A-3;14;;;4000;6000;; 
A-3;31001342;AUTOVÍA;; ;A-3;18;;;8000;15000;; 
A-3;31001342;AUTOVÍA;; ;A-3;18;;;8000;15000;; 
A-3;31001342;AUTOVÍA;; ;A-3;19;;;1480;15000;; 
A-4;31001334;AUTOVÍA;; ;A-4;13;;;4000;6000;; 
A-4;31001334;AUTOVÍA;; ;A-4;17;;;7000;12000;; 
A-42;31001341;AUTOVÍA;; ;A-42;2;;;;;; 
A-42;31001341;AUTOVÍA;; ;A-42;2;;;;;; 
A-42;31001341;AUTOVÍA;; ;A-42;11;;;5000;6000;; 
A-42;31001341;AUTOVÍA;; ;A-42;11;;;5000;6000;; 
A-42;31001341;AUTOVÍA;; ;A-42;11;;;5000;6000;; 
A-42;31001341;AUTOVÍA;; ;A-42;12;;;5000;6000;; 
A-42;31001341;AUTOVÍA;; ;A-42;12;;;5000;6000;; 
A-42;31001341;AUTOVÍA;; ;A-42;12;;;5000;6000;; 
A-42;31001341;AUTOVÍA;; ;A-42;17;;;7000;9000;; 
A-5;31001340;AUTOVÍA;; ;A-5;9;;;2000;3000;; 
A-5;31001340;AUTOVÍA;; ;A-5;10;;;2000;11000;; 
A-5;31001340;AUTOVÍA;; ;A-5;10;;;2000;11000;; 
A-5;31001340;AUTOVÍA;; ;A-5;10;;;2000;11000;; 
A-5;31001340;AUTOVÍA;; ;A-5;10;;;2000;11000;; 
A-5;31001340;AUTOVÍA;; ;A-5;10;;;2000;11000;; 
A-5;31001340;AUTOVÍA;; ;A-5;10;;;2000;11000;; 
A-6;31001339;AUTOVÍA;; ;A-6;9;;;6000;15000;; 
A-6;31001339;AUTOVÍA;; ;A-6;9;;;6000;15000;; 
A-6;31001339;AUTOVÍA;; ;A-6;9;;;6000;15000;; 
A-6;31001339;AUTOVÍA;; ;A-6;9;;;6000;15000;; 
A-6;31001339;AUTOVÍA;; ;A-6;9;;;6000;15000;; 
ABAD JUAN CATALAN;31000210;CALLE;DEL; ABAD JUAN CATALAN;ABAD JUAN CATALÁN;19;;;6;76;;ABAD JUAN CATALAN
ABADA;200;CALLE;DE LA; ABADA;ABADA;1;1;11;2;14;;ABADA
ABADA;200;CALLE;DE LA; ABADA;ABADA;21;;;;;;ABADA
