COD_VIA;nombreOriginal;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;DISTRITO;IMPAR_MIN;IMPAR_MAX;PAR_MIN;PAR_MAX;tipoVia;palabrasClave
84900;A;PASAJE;; A;A;10;1;3;2;6;; 
84900;AVILES;CALLE;DE; AVILES;AVILÉS;10;1;3;2;6;;AVILES
31001337;A-1;AUTOVÍA;; ;A-1;16;;;10000;13000;; 
31001336;A-2;AUTOVÍA;; ;A-2;4;;;;;; 
31001336;A-2;AUTOVÍA;; ;A-2;5;;;;;; 
31001336;A-2;AUTOVÍA;; ;A-2;15;;;5000;5000;; 
31001336;A-2;AUTOVÍA;; ;A-2;15;;;5000;5000;; 
31001336;A-2;AUTOVÍA;; ;A-2;16;;;6000;9000;; 
31001336;A-2;AUTOVÍA;; ;A-2;16;;;6000;9000;; 
31001336;A-2;AUTOVÍA;; ;A-2;20;;;6000;15240;; 
31001336;A-2;AUTOVÍA;; ;A-2;20;;;6000;15240;; 
31001336;A-2;AUTOVÍA;; ;A-2;20;;;6000;15240;; 
31001336;A-2;AUTOVÍA;; ;A-2;20;;;6000;15240;; 
31001336;A-2;AUTOVÍA;; ;A-2;21;;;10000;15000;; 
31001336;A-2;AUTOVÍA;; ;A-2;21;;;10000;15000;; 
31001342;A-3;AUTOVÍA;; ;A-3;3;;;;;; 
31001342;A-3;AUTOVÍA;; ;A-3;13;;;4000;7200;; 
31001342;A-3;AUTOVÍA;; ;A-3;13;;;4000;7200;; 
31001342;A-3;AUTOVÍA;; ;A-3;13;;;4000;7200;; 
31001342;A-3;AUTOVÍA;; ;A-3;14;;;4000;6000;; 
31001342;A-3;AUTOVÍA;; ;A-3;18;;;8000;15000;; 
31001342;A-3;AUTOVÍA;; ;A-3;18;;;8000;15000;; 
31001342;A-3;AUTOVÍA;; ;A-3;19;;;1480;15000;; 
31001334;A-4;AUTOVÍA;; ;A-4;13;;;4000;6000;; 
31001334;A-4;AUTOVÍA;; ;A-4;17;;;7000;12000;; 
31001341;A-42;AUTOVÍA;; ;A-42;2;;;;;; 
31001341;A-42;AUTOVÍA;; ;A-42;2;;;;;; 
31001341;A-42;AUTOVÍA;; ;A-42;11;;;5000;6000;; 
31001341;A-42;AUTOVÍA;; ;A-42;11;;;5000;6000;; 
31001341;A-42;AUTOVÍA;; ;A-42;11;;;5000;6000;; 
31001341;A-42;AUTOVÍA;; ;A-42;12;;;5000;6000;; 
31001341;A-42;AUTOVÍA;; ;A-42;12;;;5000;6000;; 
31001341;A-42;AUTOVÍA;; ;A-42;12;;;5000;6000;; 
