nombreOriginal;OBJECTID;ID_EJE;ID_GRUPO;ID_TIPO;TX_CAPA;NU_DIRECCI;NU_DOBLE_S;TX_NOMBRE;TX_NOMBRE_;Shape_Leng
Calle del Arroyo de la Media Legua;783;777;868;1;CICLOCALLES;1;0;Calle del Arroyo de la Media Legua;ARROYO DE LA MEDIA LAGUNA;846,86577106700
Calle de Sierra Toledana;784;778;868;1;CICLOCALLES;1;0;Calle de Sierra Toledana;SIERRA TOLEDANA;256,45695566000
Calle de la Fuente Carrantona;785;779;869;2;PEATONAL;0;0;Calle de la Fuente Carrantona;FUENTE CARRANTONA;180,76899287600
Calle de la Hacienda de Pavones;786;780;870;1;CICLOCALLES;-1;0;Calle de la Hacienda de Pavones;HACIENDA DE PAVONES;157,70057663800
Calle de la Encomienda de Palacios;787;781;872;1;CICLOCALLES;1;0;Calle de la Encomienda de Palacios;ENCOMIENDA DE PALACIOS;135,84436402200
Calle de la Tacona;788;782;872;1;CICLOCALLES;1;0;Calle de la Tacona;TACONA;275,78286820100
Calle de Luis Ruiz;789;783;875;1;CICLOCALLES;1;0;Calle de Luis Ruiz;LUIS RUIZ;1117,29086743000
Calle de Esteban Collantes;791;784;876;1;CICLOCALLES;1;0;Calle de Esteban Collantes;ESTEBAN COLLANTES;666,19285213200
Calle del Puerto de Canfranc;793;786;878;1;CICLOCALLES;1;0;Calle del Puerto de Canfranc;PUERTO DE CANFRANC;106,55962357800
Calle de Francisco Abril;794;787;879;1;CICLOCALLES;1;0;Calle de Francisco Abril;FRANCISCO ABRIL;166,08491588100
Calle de Los Mesejo;795;788;880;1;CICLOCALLES;-1;0;Calle de Los Mesejo;LOS MESEJO;328,76869689000
Calle de Santurce;796;789;881;1;CICLOCALLES;-1;0;Calle de Santurce;SANTURCE;481,23087053700
Calle de Novecento;797;790;882;2;PEATONAL;0;0;Calle de Novecento;NOVECENTO;264,10717961300
Calle de Hernßndez Mas;798;791;883;1;CICLOCALLES;1;0;Calle de Hernßndez Mas;HERNANDEZ MAS;267,54228263100
Calle de la Imagen;799;792;883;1;CICLOCALLES;1;0;Calle de la Imagen;IMAGEN;413,34157669100
Calle del Puerto de la Bonaigua;800;793;883;1;CICLOCALLES;1;0;Calle del Puerto de la Bonaigua;PUERTO DE LA BONAIGUA;303,84970015900
Calle de Esteban Carros;801;794;884;1;CICLOCALLES;-1;0;Calle de Esteban Carros;ESTEBAN CARROS;510,92273742300
Calle del Padre Llanos;802;795;885;1;CICLOCALLES;1;0;Calle del Padre Llanos;PADRE LLANOS;104,18836485600
Calle de Pedroches;803;796;887;1;CICLOCALLES;1;0;Calle de Pedroches;PEDROCHES;412,61498910600
Calle de la Campi±a;804;797;889;1;CICLOCALLES;-1;0;Calle de la Campi±a;CAMPIÐA;20,29709099630
Calle de Esteban Carros;805;798;890;1;CICLOCALLES;1;0;Calle de Esteban Carros;ESTEBAN CARROS;679,44950673600
Calle de MendÝvil;806;799;891;1;CICLOCALLES;1;0;Calle de MendÝvil;MENDIVIL;429,53000654100
Calle del Puerto del Monasterio;807;800;892;1;CICLOCALLES;1;0;Calle del Puerto del Monasterio;PUERTO DE MONASTERIO;623,92586598800
Camino de Valderribas;808;801;893;1;CICLOCALLES;1;0;Camino de Valderribas;VALDERRIBAS;802,66039220500
Calle de Antonia Calas;809;802;896;1;CICLOCALLES;1;0;Calle de Antonia Calas;ANTONIA CALAS;39,39113076210
Calle de Argente;810;803;897;1;CICLOCALLES;1;0;Calle de Argente;ARGENTE;235,09370339600
Calle del Puerto de Piedrafita;811;804;897;1;CICLOCALLES;1;0;Calle del Puerto de Piedrafita;PUERTO DE PEDRAFITA;63,75835191560
Avenida de la Paz;812;805;900;2;PEATONAL;0;0;Avenida de la Paz;PAZ;169,17715773700
Calle de Arregui y Aruej;813;806;901;1;CICLOCALLES;1;0;Calle de Arregui y Aruej;ARREGUI Y ARUEJ;218,78949979300
Avenida de la Ciudad de Barcelona;814;807;902;1;CICLOCALLES;-1;0;Avenida de la Ciudad de Barcelona;CIUDAD DE BARCELONA;34,14726429900
Calle del Doctor Fernando Primo de Rivera;815;808;903;1;CICLOCALLES;1;0;Calle del Doctor Fernando Primo de Rivera;DOCTOR FERNANDO PRIMO DE;113,10619766200
Calle del Doctor Salgado;816;809;903;1;CICLOCALLES;1;0;Calle del Doctor Salgado;DOCTOR SALGADO;394,49167265000
Calle del Puerto Alto;817;810;903;1;CICLOCALLES;1;0;Calle del Puerto Alto;PUERTO ALTO;393,21580324500
Calle de Pe±a Gorbea;818;811;904;2;PEATONAL;0;0;Calle de Pe±a Gorbea;PAÐA GORBEA;247,91161264200
Calle del Doctor Lozano;819;812;905;1;CICLOCALLES;1;0;Calle del Doctor Lozano;DOCTOR LOZANO;153,57309036400
Camino del Pozo del TÝo Raimundo;820;813;908;1;CICLOCALLES;1;0;Camino del Pozo del TÝo Raimundo;POZO DEL TIO RAIMUNDO;344,28555693000
Camino del Pozo del TÝo Raimundo;821;814;909;1;CICLOCALLES;-1;0;Camino del Pozo del TÝo Raimundo;POZO DEL TIO RAIMUNDO;354,75946446700
Camino de las Hormigueras;822;815;910;1;CICLOCALLES;1;0;Camino de las Hormigueras;HORMIGUERAS;1678,52109139000
Calle de Sierra Vieja;823;816;910;1;CICLOCALLES;1;0;Calle de Sierra Vieja;SIERRA VIEJA;425,50933366400
Camino de las Hormigueras;824;817;911;1;CICLOCALLES;-1;0;Camino de las Hormigueras;HORMIGUERAS;1719,90651785000
Calle de Sierra Vieja;825;818;911;1;CICLOCALLES;-1;0;Calle de Sierra Vieja;SIERRA VIEJA;784,49304845000
Calle de Cyesa;829;822;925;1;CICLOCALLES;1;0;Calle de Cyesa;CYESA;291,02765114300
Calle de JosÚ Luis de Arrese;830;823;926;1;CICLOCALLES;1;0;Calle de JosÚ Luis de Arrese;LUIS DE ARRESE;115,87945727300
Calle del MarquÚs de Lozoya;831;824;927;1;CICLOCALLES;-1;0;Calle del MarquÚs de Lozoya;MARQUES DE LOZOYA;491,75385108800
Calle del Arroyo de la Media Legua;832;825;928;1;CICLOCALLES;1;0;Calle del Arroyo de la Media Legua;ARROYO DE LA MEDIA LAGUNA;777,15899331300
Calle de Sierra Toledana;833;826;928;1;CICLOCALLES;1;0;Calle de Sierra Toledana;SIERRA TOLEDANA;868,90569622100
Calle de la Virgen de Lluc;834;827;929;1;CICLOCALLES;0;1;Calle de la Virgen de Lluc;VIRGEN DE LLUC;54,08568145150
Calle del MarquÚs de Lozoya;835;828;930;1;CICLOCALLES;1;0;Calle del MarquÚs de Lozoya;MARQUES DE LOZOYA;439,40711724400
Calle del Alcalde L¾pez Casero;836;829;931;1;CICLOCALLES;1;0;Calle del Alcalde L¾pez Casero;ALCALDE LOPEZ CASERO;236,25549987400
Calle del Pez Austral;837;830;933;1;CICLOCALLES;1;0;Calle del Pez Austral;PEZ AUSTRAL;409,61257005700
Calle de Arias Montano;838;831;934;1;CICLOCALLES;1;0;Calle de Arias Montano;ARIAS MONTANO;79,84040170460
Calle de la Estrella Polar;840;833;937;2;PEATONAL;0;0;Calle de la Estrella Polar;ESTRELLA POLAR;112,15248397300
Calle de Juan Esplandiu;841;834;938;1;CICLOCALLES;-1;0;Calle de Juan Esplandiu;JUAN ESPLANDIU;74,66410318510
Avenida de la Paz;842;835;939;2;PEATONAL;0;0;Avenida de la Paz;PAZ;221,59580705200
Calle de Ricardo Ortiz;843;836;940;1;CICLOCALLES;-1;0;Calle de Ricardo Ortiz;RICARDO ORTIZ;962,60108453200
Calle de Ricardo Ortiz;844;837;941;1;CICLOCALLES;1;0;Calle de Ricardo Ortiz;RICARDO ORTIZ;990,35791912500
Calle de Antonio Toledano;845;838;943;1;CICLOCALLES;-1;0;Calle de Antonio Toledano;ANTONIO TOLEDANO;403,10426054800
Calle de Iturbe;846;839;943;1;CICLOCALLES;-1;0;Calle de Iturbe;ITURBE;132,20510255200
Calle de Bocßngel;847;840;944;1;CICLOCALLES;1;0;Calle de Bocßngel;BOCANGEL;433,82356123900
Parque Fuente del Berro;848;841;945;2;PEATONAL;0;0;Parque Fuente del Berro;FUENTE DEL BERRO;225,93696888300
