nombreOriginal;OBJECTID;ID_EJE;ID_GRUPO;ID_TIPO;TX_CAPA;NU_DIRECCI;NU_DOBLE_S;TX_NOMBRE;TX_NOMBRE_;Shape_Leng;tipoVia
Calle del Arroyo de la Media Legua;783;777;868;1;CICLOCALLES;1;0; CALLE DEL ARROYO DE LA MEDIA LEGUA;ARROYO DE LA MEDIA LAGUNA;846,86577106700;Calle
Calle de Sierra Toledana;784;778;868;1;CICLOCALLES;1;0; CALLE DE SIERRA TOLEDANA;SIERRA TOLEDANA;256,45695566000;Calle
Calle de la Fuente Carrantona;785;779;869;2;PEATONAL;0;0; CALLE DE LA FUENTE CARRANTONA;FUENTE CARRANTONA;180,76899287600;Calle
Calle de la Hacienda de Pavones;786;780;870;1;CICLOCALLES;-1;0; CALLE DE LA HACIENDA DE PAVONES;HACIENDA DE PAVONES;157,70057663800;Calle
Calle de la Encomienda de Palacios;787;781;872;1;CICLOCALLES;1;0; CALLE DE LA ENCOMIENDA DE PALACIOS;ENCOMIENDA DE PALACIOS;135,84436402200;Calle
Calle de la Tacona;788;782;872;1;CICLOCALLES;1;0; CALLE DE LA TACONA;TACONA;275,78286820100;Calle
Calle de Luis Ruiz;789;783;875;1;CICLOCALLES;1;0; CALLE DE LUIS RUIZ;LUIS RUIZ;1117,29086743000;Calle
Calle de Esteban Collantes;791;784;876;1;CICLOCALLES;1;0; CALLE DE ESTEBAN COLLANTES;ESTEBAN COLLANTES;666,19285213200;Calle
Calle del Puerto de Canfranc;793;786;878;1;CICLOCALLES;1;0; CALLE DEL PUERTO DE CANFRANC;PUERTO DE CANFRANC;106,55962357800;Calle
Calle de Francisco Abril;794;787;879;1;CICLOCALLES;1;0; CALLE DE FRANCISCO ABRIL;FRANCISCO ABRIL;166,08491588100;Calle
Calle de Los Mesejo;795;788;880;1;CICLOCALLES;-1;0; CALLE DE LOS MESEJO;LOS MESEJO;328,76869689000;Calle
Calle de Santurce;796;789;881;1;CICLOCALLES;-1;0; CALLE DE SANTURCE;SANTURCE;481,23087053700;Calle
Calle de Novecento;797;790;882;2;PEATONAL;0;0; CALLE DE NOVECENTO;NOVECENTO;264,10717961300;Calle
Calle de Hernßndez Mas;798;791;883;1;CICLOCALLES;1;0; CALLE DE HERNÁNDEZ MAS;HERNANDEZ MAS;267,54228263100;Calle
Calle de la Imagen;799;792;883;1;CICLOCALLES;1;0; CALLE DE LA IMAGEN;IMAGEN;413,34157669100;Calle
