idVia;nombreOriginal;idObject;idEje;idGrupo;tipoUso;nuDireccion;nuDobleS;nombreVia;nombreViaReduc;longitud;tipoVia;palabrasClave;municipio
75300;Calle del Arroyo de la Media Legua;783;777;868;CICLOCALLES;1;0; CALLE DEL ARROYO DE LA MEDIA LEGUA;ARROYO DE LA MEDIA LAGUNA;846,86577106700;Calle;ARROYO MEDIA LEGUA;Madrid
720400;Calle de Sierra Toledana;784;778;868;CICLOCALLES;1;0; CALLE DE SIERRA TOLEDANA;SIERRA TOLEDANA;256,45695566000;Calle;SIERRA TOLEDANA;Madrid
315060;Calle de la Fuente Carrantona;785;779;869;PEATONAL;0;0; CALLE DE LA FUENTE CARRANTONA;FUENTE CARRANTONA;180,76899287600;Calle;FUENTE CARRANTONA;Madrid
353500;Calle de la Hacienda de Pavones;786;780;870;CICLOCALLES;-1;0; CALLE DE LA HACIENDA DE PAVONES;HACIENDA DE PAVONES;157,70057663800;Calle;HACIENDA PAVONES;Madrid
266300;Calle de la Encomienda de Palacios;787;781;872;CICLOCALLES;1;0; CALLE DE LA ENCOMIENDA DE PALACIOS;ENCOMIENDA DE PALACIOS;135,84436402200;Calle;ENCOMIENDA PALACIOS;Madrid
732000;Calle de la Tacona;788;782;872;CICLOCALLES;1;0; CALLE DE LA TACONA;TACONA;275,78286820100;Calle;TACONA;Madrid
448100;Calle de Luis Ruiz;789;783;875;CICLOCALLES;1;0; CALLE DE LUIS RUIZ;LUIS RUIZ;1117,29086743000;Calle;LUIS RUIZ;Madrid
279500;Calle de Esteban Collantes;791;784;876;CICLOCALLES;1;0; CALLE DE ESTEBAN COLLANTES;ESTEBAN COLLANTES;666,19285213200;Calle;ESTEBAN COLLANTES;Madrid
616200;Calle del Puerto de Canfranc;793;786;878;CICLOCALLES;1;0; CALLE DEL PUERTO DE CANFRANC;PUERTO DE CANFRANC;106,55962357800;Calle;PUERTO CANFRANC;Madrid
302300;Calle de Francisco Abril;794;787;879;CICLOCALLES;1;0; CALLE DE FRANCISCO ABRIL;FRANCISCO ABRIL;166,08491588100;Calle;FRANCISCO ABRIL;Madrid
