nombreOriginal;CAPA;TX_NOMBRE;MaxSimpTol;MinSimpTol;FECHA;Longitud
Palos de la Frontera;CICLOCALLES;Palos de la Frontera;298,75623300200;0,20000000000;20140801;0,29875623300
Cava Alta;CICLOCALLES;Cava Alta;193,85804659900;0,20000000000;20140801;0,19385804660
Pintor Rosales;CICLOCALLES;Pintor Rosales;503,99345505900;0,20000000000;20140801;0,50399345506
P? Moret;CICLOCALLES;P? Moret;554,43685686100;0,20000000000;20140801;0,55443685686
P? Moret;CICLOCALLES;P? Moret;425,29511490100;0,20000000000;20140801;0,42529511490
Luisa Fernanda;CICLOCALLES;Luisa Fernanda;314,36302313900;0,20000000000;20140801;0,31436302314
Felipe IV;CICLOCALLES;Felipe IV;369,01443931100;0,20000000000;20140801;0,36901443931
MartÝn de los Heros;CICLOCALLES;MartÝn de los Heros;1189,53997440000;0,20000000000;20140801;1,18953997440
Pza. Espa±a;CICLOCALLES;Pza. Espa±a;244,32468011400;0,20000000000;20140801;0,24432468011
Princesa;CICLOCALLES;Princesa;1444,15708861000;0,20000000000;20140801;1,44415708861
Princesa;CICLOCALLES;Princesa;1338,33235540000;0,20000000000;20140801;1,33833235540
Quintana;CICLOCALLES;Quintana;446,56058226000;0,20000000000;20140801;0,44656058226
Serrano Jover;CICLOCALLES;Serrano Jover;164,23510849000;0,20000000000;20140801;0,16423510849
San Bernardo;CICLOCALLES;San Bernardo;987,32092673200;0,20000000000;20140801;0,98732092673
San Bernardo;CICLOCALLES;San Bernardo;988,43260161800;0,20000000000;20140801;0,98843260162
Manuela Malasa±a;CICLOCALLES;Manuela Malasa±a;319,46922086300;0,20000000000;20140801;0,31946922086
Sta. Cruz de Marcenado;CICLOCALLES;Sta. Cruz de Marcenado;711,04956738600;0,20000000000;20140801;0,71104956739
Francisco de Rojas;CICLOCALLES;Francisco de Rojas;222,01697924100;0,20000000000;20140801;0,22201697924
Francisco de Rojas;CICLOCALLES;Francisco de Rojas;230,17675309100;0,20000000000;20140801;0,23017675309
MejÝa Lequerica;CICLOCALLES;MejÝa Lequerica;133,50477174500;0,20000000000;20140801;0,13350477175
MejÝa Lequerica;CICLOCALLES;MejÝa Lequerica;327,44984617400;0,20000000000;20140801;0,32744984617
Fernando VI;CICLOCALLES;Fernando VI;290,83343565200;0,20000000000;20140801;0,29083343565
Bßrbara de Braganza;CICLOCALLES;Bßrbara de Braganza;277,19216473200;0,20000000000;20140801;0,27719216473
Fernado VI;CICLOCALLES;Fernado VI;69,55349268290;0,20000000000;20140801;0,06955349268
Bßrbara de Braganza;CICLOCALLES;Bßrbara de Braganza;271,56289930300;0,20000000000;20140801;0,27156289930
Prim;CICLOCALLES;Prim;269,97870488200;0,20000000000;20140801;0,26997870488
